order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
3137144,54,prior,57,6,17,2.0
1967453,54,prior,58,6,21,7.0
899785,54,prior,59,4,8,5.0
3370941,54,prior,60,6,23,2.0
1433019,54,prior,61,3,12,4.0
910390,54,prior,62,2,10,6.0
2340803,54,prior,63,4,8,2.0
2101107,54,prior,64,1,13,4.0
1000935,54,prior,65,4,11,10.0
100777,54,prior,66,4,11,7.0
3147262,54,prior,67,4,13,0.0
496907,54,prior,68,1,11,4.0
1107137,54,prior,69,5,15,4.0
1743688,54,prior,70,1,15,3.0
1404810,54,prior,71,4,10,3.0
865967,54,prior,72,1,13,4.0
1456703,54,prior,73,2,23,1.0
3161832,54,prior,74,4,13,2.0
75972,54,prior,75,6,12,2.0
2004727,54,prior,76,0,10,8.0
596690,54,prior,77,1,11,1.0
1325316,54,test,78,2,23,1.0
2205298,63,prior,1,3,20,
2568280,63,prior,2,0,9,11.0
1763414,63,prior,3,4,14,11.0
3092533,63,prior,4,0,11,24.0
414538,63,prior,5,1,10,8.0
1538989,63,prior,6,6,14,12.0
3077044,63,prior,7,1,14,9.0
2644515,63,prior,8,2,19,15.0
495013,63,prior,9,0,10,26.0
973757,63,prior,10,2,14,2.0
1225619,63,prior,11,0,7,5.0
863243,63,prior,12,6,13,6.0
226861,63,prior,13,6,14,7.0
107377,63,prior,14,6,8,7.0
2286777,63,prior,15,5,12,6.0
390867,63,prior,16,3,15,5.0
3140578,63,prior,17,1,11,19.0
561303,63,prior,18,5,12,4.0
1023723,63,prior,19,3,16,5.0
2104282,63,prior,20,3,14,7.0
2838026,63,prior,21,5,9,2.0
1764004,63,prior,22,3,14,5.0
3028801,63,prior,23,3,12,7.0
2793873,63,prior,24,6,13,3.0
2158097,63,prior,25,0,5,8.0
1580628,63,prior,26,5,17,5.0
383458,63,prior,27,2,11,11.0
97480,63,prior,28,4,8,9.0
3301134,63,prior,29,1,18,11.0
2352518,63,prior,30,5,12,4.0
1128333,63,prior,31,2,17,4.0
1023454,63,prior,32,1,13,6.0
586227,63,prior,33,3,12,9.0
77449,63,prior,34,1,12,12.0
1816750,63,prior,35,1,12,14.0
2190355,63,prior,36,1,12,14.0
2617055,63,prior,37,6,9,12.0
1223316,63,prior,38,1,14,9.0
443742,63,prior,39,0,11,13.0
2989905,63,train,40,6,8,13.0
3205960,67,prior,1,3,11,
970922,67,prior,2,1,15,5.0
596585,67,prior,3,1,13,7.0
2037087,67,prior,4,2,9,8.0
2474111,67,prior,5,3,14,8.0
1568481,67,prior,6,3,12,7.0
1723781,67,prior,7,2,13,6.0
2048527,67,prior,8,2,11,7.0
2389031,67,prior,9,2,14,7.0
2378562,67,prior,10,1,10,6.0
1515698,67,prior,11,1,11,7.0
1928050,67,prior,12,2,12,8.0
1949274,67,prior,13,1,10,6.0
551869,67,prior,14,1,9,7.0
2233579,67,prior,15,2,15,15.0
768572,67,prior,16,4,10,9.0
46584,67,prior,17,1,19,11.0
150528,67,prior,18,5,16,4.0
29758,67,prior,19,0,14,9.0
2812906,67,prior,20,3,13,3.0
1558976,67,prior,21,1,9,5.0
863974,67,prior,22,1,11,14.0
2308399,67,prior,23,1,14,14.0
1931044,67,prior,24,2,12,1.0
2757217,67,train,25,0,11,5.0
838910,87,prior,1,6,17,
1881440,87,prior,2,0,12,30.0
2884724,87,prior,3,2,19,30.0
3300079,87,prior,4,6,8,30.0
88090,87,prior,5,5,7,13.0
3272229,87,prior,6,6,7,15.0
3200018,87,prior,7,3,8,4.0
1963716,87,prior,8,1,15,5.0
2668477,87,prior,9,2,7,8.0
3000782,87,prior,10,0,17,5.0
370956,87,prior,11,5,8,19.0
2987007,87,prior,12,2,16,4.0
161814,87,prior,13,0,16,5.0
886786,87,prior,14,1,17,8.0
2385684,87,prior,15,6,16,5.0
1192814,87,prior,16,0,15,8.0
2462716,87,prior,17,0,20,7.0
1803772,87,prior,18,1,19,8.0
1276879,87,prior,19,1,8,7.0
546407,87,prior,20,6,9,5.0
2928597,87,prior,21,0,12,8.0
122960,87,prior,22,3,8,3.0
2483641,87,prior,23,1,8,5.0
2482940,87,prior,24,4,7,3.0
394109,87,prior,25,1,11,4.0
2042430,87,prior,26,2,17,22.0
1962113,87,prior,27,2,7,7.0
1855447,87,train,28,3,17,8.0
631537,112,prior,1,6,11,
3386821,112,prior,2,1,14,16.0
1288160,112,prior,3,2,18,15.0
1191488,112,prior,4,2,15,14.0
182753,112,prior,5,4,17,9.0
639038,112,prior,6,0,17,3.0
1703258,112,prior,7,5,10,5.0
2036112,112,prior,8,1,13,3.0
952832,112,prior,9,6,15,5.0
1367085,112,prior,10,4,18,5.0
1087318,112,prior,11,2,13,5.0
1882807,112,prior,12,6,17,18.0
2077275,112,prior,13,4,13,5.0
3371572,112,prior,14,6,9,2.0
3094724,112,prior,15,2,12,3.0
887098,112,prior,16,4,17,2.0
3187305,112,prior,17,4,12,7.0
3171492,112,prior,18,0,16,17.0
443946,112,prior,19,6,9,6.0
102218,112,prior,20,1,15,30.0
1539802,112,prior,21,1,17,7.0
594895,112,prior,22,1,11,7.0
632430,112,prior,23,5,15,4.0
2298220,112,prior,24,0,18,2.0
1873854,112,prior,25,5,15,5.0
3378311,112,prior,26,3,11,5.0
3032922,112,train,27,2,18,6.0
1823310,118,prior,1,1,9,
739071,118,prior,2,3,10,2.0
2874790,118,prior,3,1,9,5.0
2382142,118,prior,4,1,8,7.0
19682,118,prior,5,1,7,21.0
3181671,118,prior,6,1,9,28.0
1070257,118,prior,7,1,8,7.0
1446561,118,prior,8,3,8,9.0
218648,118,prior,9,3,8,14.0
991252,118,prior,10,1,14,12.0
933246,118,prior,11,5,12,11.0
2538927,118,prior,12,1,9,10.0
2982428,118,prior,13,1,10,7.0
2365876,118,prior,14,1,8,14.0
239491,118,prior,15,4,9,3.0
2375700,118,prior,16,1,8,18.0
3337304,118,prior,17,5,12,4.0
1423422,118,prior,18,1,9,17.0
2946645,118,prior,19,1,8,7.0
2827335,118,prior,20,2,12,29.0
3177227,118,prior,21,1,11,6.0
1245530,118,prior,22,1,9,7.0
597448,118,prior,23,2,9,22.0
2690698,118,prior,24,5,9,17.0
267575,118,prior,25,2,7,18.0
198257,118,prior,26,3,9,15.0
753212,118,prior,27,1,8,19.0
1248129,118,train,28,1,7,30.0
2471114,122,prior,1,6,16,
2424388,122,prior,2,5,19,6.0
2661952,122,prior,3,6,12,1.0
3264447,122,prior,4,5,19,13.0
1275930,122,prior,5,3,22,5.0
1010324,122,prior,6,5,16,2.0
1053311,122,prior,7,5,17,0.0
2150851,122,prior,8,6,20,1.0
1802433,122,prior,9,5,0,6.0
1869011,122,prior,10,5,14,0.0
2661036,122,prior,11,6,19,8.0
2887923,122,prior,12,0,18,1.0
3267671,122,prior,13,3,20,3.0
2456894,122,prior,14,6,21,10.0
3058818,122,prior,15,3,18,4.0
1040862,122,prior,16,0,2,4.0
1521844,122,prior,17,3,11,3.0
2646970,122,prior,18,4,10,8.0
3325402,122,prior,19,4,0,28.0
829667,122,prior,20,5,16,8.0
1795037,122,prior,21,6,20,1.0
3242045,122,prior,22,4,4,5.0
1330087,122,prior,23,5,18,8.0
1078221,122,prior,24,6,20,22.0
3171246,122,prior,25,3,13,18.0
2300049,122,prior,26,0,13,4.0
2764263,122,prior,27,1,14,29.0
1200312,122,prior,28,3,20,2.0
3024894,122,prior,29,4,13,22.0
1626588,122,test,30,6,17,30.0
1350313,132,prior,1,2,9,
2005455,132,prior,2,2,12,7.0
1331186,132,prior,3,5,9,3.0
2945874,132,prior,4,5,7,7.0
419704,132,prior,5,0,19,2.0
1271491,132,prior,6,2,16,2.0
1658862,132,prior,7,6,8,4.0
1649249,132,prior,8,0,8,1.0
2149749,132,prior,9,2,7,2.0
1714411,132,prior,10,3,12,1.0
1264035,132,prior,11,0,10,4.0
1725511,132,prior,12,3,8,3.0
1175812,132,prior,13,2,8,6.0
647862,132,prior,14,5,9,3.0
3407614,132,prior,15,1,7,3.0
2425937,132,prior,16,3,8,2.0
88224,132,prior,17,1,9,5.0
128294,132,prior,18,0,16,6.0
2828876,132,prior,19,2,17,2.0
50139,132,prior,20,5,8,3.0
3054588,132,prior,21,1,7,3.0
1068230,132,prior,22,3,22,2.0
214385,132,prior,23,4,21,1.0
125426,132,prior,24,2,18,5.0
2887138,132,train,25,0,12,5.0
3160996,138,prior,1,5,13,
930730,138,prior,2,0,12,9.0
1421595,138,prior,3,2,9,9.0
1433006,138,prior,4,0,11,5.0
1592314,138,prior,5,0,9,14.0
3052988,138,prior,6,0,6,7.0
1986630,138,prior,7,0,12,7.0
2823056,138,prior,8,6,14,6.0
505689,138,prior,9,6,12,7.0
2254091,138,prior,10,5,14,6.0
228295,138,prior,11,0,12,2.0
2138731,138,prior,12,6,15,6.0
28517,138,prior,13,6,14,7.0
2526903,138,prior,14,0,15,8.0
1593782,138,prior,15,6,11,6.0
307762,138,prior,16,0,11,8.0
960220,138,prior,17,5,14,19.0
1154289,138,prior,18,1,7,3.0
1898191,138,prior,19,2,8,30.0
1972635,138,prior,20,6,20,18.0
1512043,138,prior,21,0,15,8.0
323780,138,prior,22,2,15,16.0
894221,138,prior,23,5,13,24.0
2027699,138,prior,24,1,10,24.0
703615,138,prior,25,3,11,2.0
2226790,138,prior,26,5,12,9.0
2206168,138,prior,27,3,18,30.0
3139998,138,prior,28,6,11,3.0
1854193,138,prior,29,0,14,22.0
1977647,138,prior,30,6,17,20.0
1069065,138,prior,31,2,7,10.0
2329217,138,prior,32,5,20,10.0
455775,138,train,33,6,12,1.0
1867123,142,prior,1,5,14,
2244687,142,prior,2,1,19,10.0
1671993,142,prior,3,2,18,30.0
2608439,142,prior,4,2,12,7.0
3218498,142,prior,5,6,19,30.0
234203,142,prior,6,6,11,14.0
994112,142,prior,7,0,15,8.0
60985,142,prior,8,6,11,6.0
165154,142,prior,9,5,17,6.0
2158587,142,prior,10,2,8,11.0
2833621,142,prior,11,1,19,6.0
3411559,142,prior,12,1,9,7.0
1156263,142,prior,13,1,19,7.0
167617,142,prior,14,5,18,4.0
2947599,142,prior,15,1,17,3.0
2389589,142,prior,16,0,1,20.0
2354156,142,prior,17,1,19,8.0
2534019,142,prior,18,3,13,9.0
2364117,142,prior,19,1,13,5.0
81012,142,prior,20,6,14,19.0
996998,142,prior,21,5,17,6.0
2772108,142,prior,22,1,7,3.0
3111657,142,prior,23,6,13,5.0
670136,142,prior,24,0,15,1.0
1925343,142,prior,25,4,12,4.0
518010,142,prior,26,3,18,6.0
2792748,142,prior,27,1,18,5.0
1717913,142,prior,28,3,17,2.0
1458394,142,prior,29,5,17,2.0
212987,142,prior,30,4,6,6.0
1699547,142,prior,31,5,7,8.0
2553955,142,prior,32,0,10,2.0
2087145,142,prior,33,4,14,11.0
610922,142,prior,34,2,18,5.0
2430869,142,prior,35,5,10,3.0
3256520,142,prior,36,6,13,8.0
2558019,142,prior,37,4,10,5.0
1810051,142,prior,38,0,13,3.0
2420961,142,prior,39,4,14,4.0
1367397,142,prior,40,0,20,3.0
606047,142,prior,41,3,9,3.0
2100628,142,prior,42,1,15,5.0
2690158,142,prior,43,3,19,2.0
3213679,142,prior,44,0,14,4.0
2929728,142,prior,45,4,19,4.0
2696946,142,train,46,6,17,2.0
859662,146,prior,1,3,16,
3395836,146,prior,2,6,14,10.0
85287,146,prior,3,3,10,11.0
3098928,146,prior,4,5,9,30.0
823488,146,prior,5,0,8,9.0
123002,146,prior,6,1,13,8.0
273147,146,prior,7,0,15,6.0
92708,146,prior,8,6,10,6.0
2033640,146,prior,9,0,17,8.0
1342836,146,prior,10,0,11,7.0
1884872,146,prior,11,4,21,25.0
794921,146,prior,12,0,9,3.0
1613383,146,prior,13,1,14,1.0
991882,146,prior,14,6,13,5.0
3285522,146,prior,15,0,10,8.0
900920,146,prior,16,6,16,6.0
3011044,146,prior,17,5,10,6.0
3380688,146,prior,18,6,14,8.0
1807479,146,prior,19,6,10,7.0
2335689,146,prior,20,4,18,12.0
205644,146,prior,21,0,18,3.0
203023,146,prior,22,0,15,14.0
2284078,146,prior,23,0,8,7.0
796754,146,prior,24,6,15,6.0
254017,146,prior,25,5,7,6.0
1570910,146,prior,26,0,12,9.0
59415,146,prior,27,5,11,5.0
702663,146,prior,28,4,8,6.0
3373813,146,prior,29,4,12,7.0
596102,146,prior,30,2,10,5.0
1818217,146,prior,31,0,15,5.0
3144664,146,prior,32,1,14,15.0
2353983,146,prior,33,6,15,5.0
2309042,146,prior,34,6,19,7.0
1875229,146,prior,35,0,8,15.0
1671477,146,prior,36,0,12,7.0
3092707,146,prior,37,1,11,1.0
2689637,146,prior,38,0,14,6.0
582965,146,prior,39,0,13,14.0
431025,146,prior,40,5,9,19.0
673776,146,train,41,2,19,25.0
3139566,150,prior,1,6,6,
242667,150,prior,2,1,6,9.0
2789394,150,prior,3,4,18,10.0
309416,150,prior,4,2,17,12.0
3123164,150,prior,5,5,18,10.0
1462796,150,prior,6,2,16,11.0
2519716,150,prior,7,2,16,14.0
1743975,150,prior,8,5,8,10.0
1279359,150,prior,9,2,15,4.0
759564,150,prior,10,2,12,7.0
2515579,150,prior,11,0,13,12.0
1228126,150,prior,12,5,14,5.0
3024068,150,prior,13,3,7,26.0
3164014,150,prior,14,4,13,30.0
2003778,150,prior,15,0,4,10.0
3182724,150,prior,16,0,16,7.0
2207448,150,prior,17,6,17,6.0
2822984,150,prior,18,5,19,6.0
2346394,150,prior,19,1,16,3.0
1600895,150,prior,20,1,17,7.0
2520237,150,prior,21,4,8,3.0
1785347,150,prior,22,4,16,14.0
1157021,150,prior,23,6,13,2.0
2982817,150,prior,24,4,17,5.0
12278,150,prior,25,3,17,6.0
1297781,150,prior,26,5,19,2.0
2199,150,prior,27,4,14,6.0
887483,150,prior,28,6,11,9.0
2461899,150,prior,29,1,16,23.0
1525078,150,prior,30,1,15,30.0
2375858,150,prior,31,0,11,6.0
1575396,150,train,32,6,14,20.0
3258437,174,prior,1,5,12,
2717674,174,prior,2,3,21,30.0
3305949,174,prior,3,5,17,2.0
2143916,174,prior,4,0,17,23.0
491572,174,prior,5,2,17,16.0
1454402,174,prior,6,5,14,24.0
3198434,174,prior,7,1,15,3.0
3129852,174,prior,8,0,12,6.0
228667,174,prior,9,0,16,7.0
539529,174,prior,10,3,18,3.0
2438283,174,prior,11,0,16,11.0
2055941,174,prior,12,3,19,24.0
235402,174,prior,13,4,14,8.0
1640518,174,prior,14,0,14,3.0
668180,174,prior,15,4,16,4.0
662606,174,prior,16,2,14,5.0
2405543,174,prior,17,5,14,10.0
2821678,174,prior,18,4,15,6.0
85209,174,prior,19,0,15,10.0
3312431,174,prior,20,2,16,2.0
1003212,174,prior,21,1,16,30.0
1746076,174,prior,22,0,10,13.0
559688,174,prior,23,0,17,7.0
2510944,174,prior,24,5,13,12.0
1945064,174,prior,25,0,16,16.0
996987,174,prior,26,0,14,7.0
1725709,174,prior,27,4,17,11.0
537105,174,train,28,6,11,9.0
889228,187,prior,1,3,11,
1103718,187,prior,2,0,14,4.0
1637113,187,prior,3,5,12,5.0
2096989,187,prior,4,1,17,3.0
2146727,187,prior,5,5,18,4.0
2267770,187,prior,6,6,12,1.0
1371918,187,prior,7,3,9,4.0
2774796,187,prior,8,6,19,3.0
2935313,187,prior,9,0,15,1.0
2998162,187,prior,10,3,12,10.0
1882461,187,prior,11,2,11,6.0
1405292,187,prior,12,4,10,2.0
2753539,187,prior,13,1,10,4.0
1252793,187,prior,14,2,8,1.0
2564917,187,prior,15,0,5,5.0
1253771,187,prior,16,1,13,1.0
751250,187,prior,17,0,18,27.0
3228672,187,prior,18,5,11,30.0
2298326,187,prior,19,4,14,6.0
229217,187,prior,20,5,14,8.0
1516111,187,prior,21,1,12,3.0
1155527,187,prior,22,2,16,1.0
1301180,187,prior,23,0,12,30.0
2636177,187,prior,24,1,15,8.0
293015,187,prior,25,2,15,1.0
34164,187,prior,26,1,14,13.0
388948,187,prior,27,3,16,2.0
671190,187,prior,28,3,16,7.0
871819,187,prior,29,6,16,3.0
926993,187,prior,30,0,16,1.0
1921094,187,prior,31,1,15,15.0
984705,187,prior,32,2,14,8.0
475324,187,train,33,5,15,3.0
2040988,195,prior,1,1,14,
2247949,195,prior,2,5,15,4.0
28047,195,prior,3,0,13,9.0
3094213,195,prior,4,1,8,15.0
2699449,195,prior,5,4,9,3.0
2443791,195,prior,6,1,9,4.0
739290,195,prior,7,4,9,3.0
1680569,195,prior,8,1,9,4.0
1991051,195,prior,9,5,10,4.0
2186781,195,prior,10,1,11,3.0
2213852,195,prior,11,4,9,3.0
2969331,195,prior,12,5,14,1.0
2925383,195,prior,13,1,18,10.0
1302290,195,prior,14,2,8,8.0
3278937,195,prior,15,2,8,0.0
2254988,195,prior,16,4,18,2.0
1357499,195,prior,17,2,9,5.0
1946131,195,prior,18,2,8,7.0
276171,195,prior,19,5,11,3.0
3387727,195,prior,20,1,10,10.0
2661660,195,prior,21,5,15,4.0
2744976,195,prior,22,5,10,7.0
1017813,195,prior,23,5,16,7.0
373581,195,prior,24,4,11,6.0
2781919,195,prior,25,1,14,4.0
1190066,195,prior,26,4,17,3.0
1442427,195,prior,27,3,9,6.0
1896889,195,prior,28,5,11,2.0
3334200,195,prior,29,5,10,7.0
1205026,195,prior,30,5,11,7.0
1738718,195,prior,31,2,8,4.0
3140466,195,prior,32,1,7,13.0
952829,195,prior,33,4,17,3.0
3058369,195,prior,34,3,10,6.0
1684209,195,prior,35,5,11,2.0
85844,195,prior,36,2,9,25.0
1485596,195,prior,37,2,15,0.0
2173254,195,prior,38,1,8,13.0
887706,195,prior,39,1,8,7.0
417035,195,prior,40,3,16,2.0
2779493,195,prior,41,4,16,1.0
1965520,195,prior,42,4,11,7.0
152330,195,prior,43,5,14,1.0
910030,195,prior,44,5,9,7.0
476868,195,prior,45,5,10,7.0
882353,195,prior,46,3,9,5.0
1615297,195,prior,47,5,10,2.0
690433,195,prior,48,1,13,3.0
176934,195,prior,49,1,15,7.0
2257634,195,prior,50,5,12,4.0
1113934,195,prior,51,1,15,10.0
1765587,195,prior,52,3,12,2.0
1199792,195,prior,53,5,12,2.0
42996,195,prior,54,5,15,7.0
2500838,195,prior,55,1,21,10.0
121548,195,prior,56,1,10,7.0
745908,195,prior,57,4,11,3.0
2857448,195,prior,58,5,16,1.0
1458129,195,train,59,4,11,6.0
1715675,204,prior,1,5,10,
3197379,204,prior,2,4,9,6.0
741021,204,prior,3,1,11,4.0
874399,204,prior,4,5,20,4.0
1054017,204,prior,5,2,14,4.0
1194678,204,prior,6,0,11,5.0
670442,204,prior,7,3,15,3.0
3309526,204,prior,8,0,0,4.0
1033879,204,prior,9,2,10,2.0
2321422,204,prior,10,6,18,4.0
77476,204,prior,11,5,11,6.0
1973375,204,prior,12,1,21,3.0
1349480,204,prior,13,5,11,4.0
1568565,204,prior,14,0,10,2.0
312218,204,prior,15,1,22,1.0
1290363,204,prior,16,5,17,4.0
940817,204,prior,17,4,9,6.0
1159562,204,prior,18,6,21,30.0
1685681,204,prior,19,4,8,5.0
1562042,204,prior,20,0,10,10.0
2236393,204,prior,21,6,18,6.0
73959,204,prior,22,2,14,10.0
3052995,204,prior,23,5,7,3.0
2869752,204,prior,24,2,14,4.0
135852,204,prior,25,3,23,1.0
2020112,204,prior,26,1,16,5.0
2994268,204,prior,27,0,12,6.0
733465,204,prior,28,6,13,6.0
2298192,204,prior,29,2,20,3.0
548585,204,prior,30,0,20,5.0
331477,204,prior,31,4,12,4.0
2267241,204,prior,32,1,23,4.0
2933781,204,prior,33,1,19,7.0
766016,204,prior,34,4,16,3.0
3377525,204,prior,35,0,20,3.0
283191,204,prior,36,0,21,7.0
179198,204,prior,37,3,19,3.0
1933885,204,prior,38,2,8,6.0
3108502,204,prior,39,5,10,3.0
282471,204,prior,40,1,19,3.0
1894164,204,prior,41,5,10,4.0
3409449,204,prior,42,2,9,4.0
1877938,204,prior,43,4,20,2.0
1281905,204,prior,44,1,20,4.0
2083821,204,prior,45,4,10,3.0
3332790,204,prior,46,1,9,4.0
1097865,204,prior,47,0,16,13.0
2516170,204,prior,48,6,14,6.0
124894,204,prior,49,0,15,22.0
216004,204,prior,50,5,14,12.0
2839353,204,prior,51,4,20,13.0
3242253,204,prior,52,4,11,14.0
1723760,204,prior,53,0,18,3.0
518463,204,prior,54,6,14,6.0
625302,204,prior,55,3,14,4.0
3040927,204,prior,56,6,13,17.0
1346153,204,prior,57,2,13,10.0
2524799,204,prior,58,3,17,8.0
1447810,204,train,59,6,13,17.0
3306824,206,prior,1,6,11,
3270499,206,prior,2,6,13,28.0
1473391,206,prior,3,4,19,19.0
1427333,206,prior,4,0,13,10.0
285852,206,prior,5,1,15,8.0
1337188,206,prior,6,2,15,8.0
2593,206,prior,7,6,13,25.0
3035791,206,prior,8,5,13,13.0
329550,206,prior,9,0,14,9.0
707651,206,prior,10,0,13,7.0
776933,206,prior,11,5,18,19.0
2888371,206,prior,12,5,11,7.0
3109771,206,prior,13,0,12,2.0
2441420,206,prior,14,6,12,13.0
2663792,206,prior,15,5,15,13.0
1210257,206,prior,16,6,11,22.0
2591019,206,prior,17,5,14,13.0
831708,206,prior,18,5,10,7.0
1861505,206,prior,19,4,13,6.0
784324,206,prior,20,0,12,30.0
601425,206,prior,21,6,14,6.0
84788,206,prior,22,6,17,7.0
253362,206,prior,23,6,15,7.0
1304306,206,prior,24,5,9,13.0
2195057,206,prior,25,5,16,21.0
967578,206,prior,26,4,15,6.0
2187574,206,prior,27,0,11,10.0
2004557,206,prior,28,5,14,5.0
307237,206,train,29,4,10,13.0
671752,1764,prior,1,5,12,
1319812,1764,prior,2,0,8,16.0
1990747,1764,prior,3,3,15,10.0
1049238,1764,prior,4,0,16,30.0
763829,1764,prior,5,0,9,7.0
387073,1764,prior,6,2,10,9.0
457261,1764,prior,7,0,16,5.0
1232102,1764,prior,8,6,19,6.0
1870179,1764,prior,9,4,10,5.0
282039,1764,prior,10,4,12,7.0
