,first,second,label
34,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
35,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",1
36,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Organic Whole Milk'],1
37,['Organic Whole Milk'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],1
38,['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],1
39,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food'],1
40,"['Organic Apples, Carrots and Parsnips Puree']",['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],1
41,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],"['Organic Apples, Carrots and Parsnips Puree']",1
42,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],1
43,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
44,['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],"['Organic Pears, Peas and Broccoli Puree Stage 1']",1
45,"['Organic Pears, Peas and Broccoli Puree Stage 1']",['Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food'],1
46,['Blueberries'],['Organic Whole Milk'],1
47,['Organic Whole Milk'],['Blueberries'],1
48,['Baby Food Stage 2 Pumpkin Banana'],['Spinach Peas & Pear Stage 2 Baby Food'],1
49,['Spinach Peas & Pear Stage 2 Baby Food'],['Baby Food Stage 2 Pumpkin Banana'],1
50,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Baby Food Stage 2 Pumpkin Banana'],1
51,['Baby Food Stage 2 Pumpkin Banana'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
52,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Organic Whole Milk'],1
53,['Organic Whole Milk'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",1
54,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Spinach Peas & Pear Stage 2 Baby Food'],1
55,['Spinach Peas & Pear Stage 2 Baby Food'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",1
56,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],"['Happy Baby Spinach, Mango, and Pear Baby Food']",1
57,"['Happy Baby Spinach, Mango, and Pear Baby Food']",['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
58,['Organic Strawberry Yogurt & Fruit Snack'],['Banana & Mango Organic Yogurt & Fruit Snacks\xa0'],1
59,['Banana & Mango Organic Yogurt & Fruit Snacks\xa0'],['Organic Strawberry Yogurt & Fruit Snack'],1
60,['Organic Strawberry Yogurt & Fruit Snack'],['Organic Mixed Berry Yogurt & Fruit Snack'],1
61,['Organic Mixed Berry Yogurt & Fruit Snack'],['Organic Strawberry Yogurt & Fruit Snack'],1
62,['Organic Strawberry Yogurt & Fruit Snack'],['Organic Whole Milk'],1
63,['Organic Whole Milk'],['Organic Strawberry Yogurt & Fruit Snack'],1
64,['Organic Mixed Berry Yogurt & Fruit Snack'],['Banana & Mango Organic Yogurt & Fruit Snacks\xa0'],1
65,['Banana & Mango Organic Yogurt & Fruit Snacks\xa0'],['Organic Mixed Berry Yogurt & Fruit Snack'],1
66,['Organic Mixed Berry Yogurt & Fruit Snack'],['Organic Whole Milk'],1
67,['Organic Whole Milk'],['Organic Mixed Berry Yogurt & Fruit Snack'],1
68,['Organic Whole String Cheese'],['Organic Whole Milk'],1
69,['Organic Whole Milk'],['Organic Whole String Cheese'],1
70,['Original Hummus'],['Organic Whole String Cheese'],1
71,['Organic Whole String Cheese'],['Original Hummus'],1
72,['Organic Whole String Cheese'],['Organic Cilantro'],1
73,['Organic Cilantro'],['Organic Whole String Cheese'],1
74,['Organic Whole String Cheese'],['Grated Parmesan'],1
75,['Grated Parmesan'],['Organic Whole String Cheese'],1
76,['Organic Whole String Cheese'],['Organic Italian Parsley Bunch'],1
77,['Organic Italian Parsley Bunch'],['Organic Whole String Cheese'],1
78,['Organic Whole String Cheese'],['Spinach Peas & Pear Stage 2 Baby Food'],1
79,['Spinach Peas & Pear Stage 2 Baby Food'],['Organic Whole String Cheese'],1
80,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Organic Whole String Cheese'],1
81,['Organic Whole String Cheese'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
82,"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",['Organic Whole Milk'],1
83,['Organic Whole Milk'],"['Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods']",1
84,['Organic Stage 4 Green Bean Pear & Pea Baby Food'],['Organic Whole Milk'],1
85,['Organic Whole Milk'],['Organic Stage 4 Green Bean Pear & Pea Baby Food'],1
86,['Boneless Skinless Chicken Breasts'],['Organic Whole Milk'],1
87,['Organic Whole Milk'],['Boneless Skinless Chicken Breasts'],1
88,['Organic Black Beans'],['Organic Whole Milk'],1
89,['Organic Whole Milk'],['Organic Black Beans'],1
90,['Original Hummus'],['Organic Whole Milk'],1
91,['Organic Whole Milk'],['Original Hummus'],1
92,['Extra Virgin Olive Oil'],['Organic Whole Milk'],1
93,['Organic Whole Milk'],['Extra Virgin Olive Oil'],1
94,['Organic Whole Milk'],['Organic Cilantro'],1
95,['Organic Cilantro'],['Organic Whole Milk'],1
96,['Grated Parmesan'],['Organic Whole Milk'],1
97,['Organic Whole Milk'],['Grated Parmesan'],1
98,['Organic Whole Milk'],['Organic Italian Parsley Bunch'],1
99,['Organic Italian Parsley Bunch'],['Organic Whole Milk'],1
100,['Organic Whole Milk'],['Spinach Peas & Pear Stage 2 Baby Food'],1
101,['Spinach Peas & Pear Stage 2 Baby Food'],['Organic Whole Milk'],1
102,['Feta Cheese Crumbles'],['Organic Whole Milk'],1
103,['Organic Whole Milk'],['Feta Cheese Crumbles'],1
104,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Organic Whole Milk'],1
105,['Organic Whole Milk'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
106,['Stage 2 Sweet Potato Corn & Apple Baby Food'],['Spinach Peas & Pear Stage 2 Baby Food'],1
107,['Spinach Peas & Pear Stage 2 Baby Food'],['Stage 2 Sweet Potato Corn & Apple Baby Food'],1
108,['Stage 2 Sweet Potato Corn & Apple Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
109,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Stage 2 Sweet Potato Corn & Apple Baby Food'],1
110,['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food'],"['Organic Pears, Peas and Broccoli Puree Stage 1']",1
111,"['Organic Pears, Peas and Broccoli Puree Stage 1']",['Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food'],1
112,['Extra Virgin Olive Oil'],['Organic Italian Parsley Bunch'],1
113,['Organic Italian Parsley Bunch'],['Extra Virgin Olive Oil'],1
114,['Extra Virgin Olive Oil'],['Spinach Peas & Pear Stage 2 Baby Food'],1
115,['Spinach Peas & Pear Stage 2 Baby Food'],['Extra Virgin Olive Oil'],1
116,['Extra Virgin Olive Oil'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
117,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Extra Virgin Olive Oil'],1
118,['Grated Parmesan'],['Organic Cilantro'],1
119,['Organic Cilantro'],['Grated Parmesan'],1
120,['Organic Cilantro'],['Organic Italian Parsley Bunch'],1
121,['Organic Italian Parsley Bunch'],['Organic Cilantro'],1
122,['Organic Cilantro'],['Spinach Peas & Pear Stage 2 Baby Food'],1
123,['Spinach Peas & Pear Stage 2 Baby Food'],['Organic Cilantro'],1
124,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Organic Cilantro'],1
125,['Organic Cilantro'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
126,['Grated Parmesan'],['Organic Italian Parsley Bunch'],1
127,['Organic Italian Parsley Bunch'],['Grated Parmesan'],1
128,['Grated Parmesan'],['Spinach Peas & Pear Stage 2 Baby Food'],1
129,['Spinach Peas & Pear Stage 2 Baby Food'],['Grated Parmesan'],1
130,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Grated Parmesan'],1
131,['Grated Parmesan'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
132,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Organic Italian Parsley Bunch'],1
133,['Organic Italian Parsley Bunch'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
134,['Pear & Mango Stage 2 Baby Food'],['Spinach Peas & Pear Stage 2 Baby Food'],1
135,['Spinach Peas & Pear Stage 2 Baby Food'],['Pear & Mango Stage 2 Baby Food'],1
136,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Spinach Peas & Pear Stage 2 Baby Food'],1
137,['Spinach Peas & Pear Stage 2 Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
138,['Apple and Carrot Stage 2 Baby Food'],['Spinach Peas & Pear Stage 2 Baby Food'],1
139,['Spinach Peas & Pear Stage 2 Baby Food'],['Apple and Carrot Stage 2 Baby Food'],1
140,['Pear & Mango Stage 2 Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
141,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Pear & Mango Stage 2 Baby Food'],1
142,['Apple and Carrot Stage 2 Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
143,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Apple and Carrot Stage 2 Baby Food'],1
144,"['Baby Food Stage 2 Blueberry Pear & Purple Carrot', 'Broccoli & Apple Stage 2 Baby Food']",['Spinach Peas & Pear Stage 2 Baby Food'],1
145,"['Baby Food Stage 2 Blueberry Pear & Purple Carrot', 'Spinach Peas & Pear Stage 2 Baby Food']",['Broccoli & Apple Stage 2 Baby Food'],1
146,"['Broccoli & Apple Stage 2 Baby Food', 'Spinach Peas & Pear Stage 2 Baby Food']",['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
147,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],"['Broccoli & Apple Stage 2 Baby Food', 'Spinach Peas & Pear Stage 2 Baby Food']",1
148,['Broccoli & Apple Stage 2 Baby Food'],"['Baby Food Stage 2 Blueberry Pear & Purple Carrot', 'Spinach Peas & Pear Stage 2 Baby Food']",1
149,['Spinach Peas & Pear Stage 2 Baby Food'],"['Baby Food Stage 2 Blueberry Pear & Purple Carrot', 'Broccoli & Apple Stage 2 Baby Food']",1
150,['Extra Virgin Olive Oil'],['Blueberries'],2
151,['Blueberries'],['Extra Virgin Olive Oil'],2
152,['Organic Whole Strawberries'],['Frozen Organic Wild Blueberries'],2
153,['Frozen Organic Wild Blueberries'],['Organic Whole Strawberries'],2
154,['Original Hummus'],['Organic Whole String Cheese'],2
155,['Organic Whole String Cheese'],['Original Hummus'],2
156,['Extra Virgin Olive Oil'],['Organic Black Beans'],2
157,['Organic Black Beans'],['Extra Virgin Olive Oil'],2
158,['Organic Black Beans'],['Organic Cilantro'],2
159,['Organic Cilantro'],['Organic Black Beans'],2
160,['Organic Black Beans'],['Organic Italian Parsley Bunch'],2
161,['Organic Italian Parsley Bunch'],['Organic Black Beans'],2
162,['Bunched Cilantro'],['Organic Cilantro'],2
163,['Organic Cilantro'],['Bunched Cilantro'],2
164,['Original Hummus'],['Extra Virgin Olive Oil'],2
165,['Extra Virgin Olive Oil'],['Original Hummus'],2
166,['Original Hummus'],['Organic Italian Parsley Bunch'],2
167,['Organic Italian Parsley Bunch'],['Original Hummus'],2
168,['Extra Virgin Olive Oil'],['Organic Cilantro'],2
169,['Organic Cilantro'],['Extra Virgin Olive Oil'],2
170,['Extra Virgin Olive Oil'],['Grated Parmesan'],2
171,['Grated Parmesan'],['Extra Virgin Olive Oil'],2
172,['Extra Virgin Olive Oil'],['Organic Italian Parsley Bunch'],2
173,['Organic Italian Parsley Bunch'],['Extra Virgin Olive Oil'],2
174,['Organic Cilantro'],['Organic Italian Parsley Bunch'],2
175,['Organic Italian Parsley Bunch'],['Organic Cilantro'],2
176,['Grated Parmesan'],['Organic Italian Parsley Bunch'],2
177,['Organic Italian Parsley Bunch'],['Grated Parmesan'],2
178,['Clementines'],['Soda'],3
179,['Soda'],['Clementines'],3
180,['Packaged Grape Tomatoes'],['Clementines'],3
181,['Clementines'],['Packaged Grape Tomatoes'],3
182,['Clementines'],['Baby Cucumbers'],3
183,['Baby Cucumbers'],['Clementines'],3
184,['Clementines'],['Blueberries'],3
185,['Blueberries'],['Clementines'],3
186,['Clementines'],['Organic Simply Naked Pita Chips'],3
187,['Organic Simply Naked Pita Chips'],['Clementines'],3
188,['Clementines'],['Hass Avocados'],3
189,['Hass Avocados'],['Clementines'],3
190,['Clementines'],['Green Seedless Grapes'],3
191,['Green Seedless Grapes'],['Clementines'],3
192,['Clementines'],['Rainbow Bell Peppers'],3
193,['Rainbow Bell Peppers'],['Clementines'],3
194,['Clementines'],['Seedless Cucumbers'],3
195,['Seedless Cucumbers'],['Clementines'],3
196,['Clementines'],['Organic Tortilla Chips'],3
197,['Organic Tortilla Chips'],['Clementines'],3
198,['Clementines'],['Raspberries'],3
199,['Raspberries'],['Clementines'],3
200,['Packaged Grape Tomatoes'],['Baby Cucumbers'],3
201,['Baby Cucumbers'],['Packaged Grape Tomatoes'],3
202,['Packaged Grape Tomatoes'],['Hass Avocados'],3
203,['Hass Avocados'],['Packaged Grape Tomatoes'],3
204,['Packaged Grape Tomatoes'],['Rainbow Bell Peppers'],3
205,['Rainbow Bell Peppers'],['Packaged Grape Tomatoes'],3
206,['Packaged Grape Tomatoes'],['Seedless Cucumbers'],3
207,['Seedless Cucumbers'],['Packaged Grape Tomatoes'],3
208,['Packaged Grape Tomatoes'],['Raspberries'],3
209,['Raspberries'],['Packaged Grape Tomatoes'],3
210,['Baby Cucumbers'],['Hass Avocados'],3
211,['Hass Avocados'],['Baby Cucumbers'],3
212,['Baby Cucumbers'],['Rainbow Bell Peppers'],3
213,['Rainbow Bell Peppers'],['Baby Cucumbers'],3
214,['Raspberries'],['Baby Cucumbers'],3
215,['Baby Cucumbers'],['Raspberries'],3
216,['Blueberries'],['Hass Avocados'],3
217,['Hass Avocados'],['Blueberries'],3
218,['Raspberries'],['Blueberries'],3
219,['Blueberries'],['Raspberries'],3
220,['Raspberries'],['Organic Simply Naked Pita Chips'],3
221,['Organic Simply Naked Pita Chips'],['Raspberries'],3
222,['Green Seedless Grapes'],['Hass Avocados'],3
223,['Hass Avocados'],['Green Seedless Grapes'],3
224,['Organic Extra Virgin Olive Oil'],['Hass Avocados'],3
225,['Hass Avocados'],['Organic Extra Virgin Olive Oil'],3
226,['Rainbow Bell Peppers'],['Hass Avocados'],3
227,['Hass Avocados'],['Rainbow Bell Peppers'],3
228,['Seedless Cucumbers'],['Hass Avocados'],3
229,['Hass Avocados'],['Seedless Cucumbers'],3
230,['Organic Tortilla Chips'],['Hass Avocados'],3
231,['Hass Avocados'],['Organic Tortilla Chips'],3
232,['Raspberries'],['Hass Avocados'],3
233,['Hass Avocados'],['Raspberries'],3
234,['Raspberries'],['Green Seedless Grapes'],3
235,['Green Seedless Grapes'],['Raspberries'],3
236,['Seedless Cucumbers'],['Rainbow Bell Peppers'],3
237,['Rainbow Bell Peppers'],['Seedless Cucumbers'],3
238,['Raspberries'],['Rainbow Bell Peppers'],3
239,['Rainbow Bell Peppers'],['Raspberries'],3
240,['Raspberries'],['Seedless Cucumbers'],3
241,['Seedless Cucumbers'],['Raspberries'],3
242,['Raspberries'],['Organic Tortilla Chips'],3
243,['Organic Tortilla Chips'],['Raspberries'],3
244,"['Packaged Grape Tomatoes', 'Clementines']",['Hass Avocados'],3
245,"['Packaged Grape Tomatoes', 'Hass Avocados']",['Clementines'],3
246,"['Clementines', 'Hass Avocados']",['Packaged Grape Tomatoes'],3
247,['Packaged Grape Tomatoes'],"['Clementines', 'Hass Avocados']",3
248,['Clementines'],"['Packaged Grape Tomatoes', 'Hass Avocados']",3
249,['Hass Avocados'],"['Packaged Grape Tomatoes', 'Clementines']",3
250,"['Packaged Grape Tomatoes', 'Clementines']",['Raspberries'],3
251,"['Packaged Grape Tomatoes', 'Raspberries']",['Clementines'],3
252,"['Clementines', 'Raspberries']",['Packaged Grape Tomatoes'],3
253,['Packaged Grape Tomatoes'],"['Clementines', 'Raspberries']",3
254,['Clementines'],"['Packaged Grape Tomatoes', 'Raspberries']",3
255,['Raspberries'],"['Packaged Grape Tomatoes', 'Clementines']",3
256,"['Clementines', 'Seedless Cucumbers']",['Hass Avocados'],3
257,"['Clementines', 'Hass Avocados']",['Seedless Cucumbers'],3
258,"['Seedless Cucumbers', 'Hass Avocados']",['Clementines'],3
259,['Clementines'],"['Seedless Cucumbers', 'Hass Avocados']",3
260,['Seedless Cucumbers'],"['Clementines', 'Hass Avocados']",3
261,['Hass Avocados'],"['Clementines', 'Seedless Cucumbers']",3
262,"['Clementines', 'Raspberries']",['Hass Avocados'],3
263,"['Clementines', 'Hass Avocados']",['Raspberries'],3
264,"['Raspberries', 'Hass Avocados']",['Clementines'],3
265,['Clementines'],"['Raspberries', 'Hass Avocados']",3
266,['Raspberries'],"['Clementines', 'Hass Avocados']",3
267,['Hass Avocados'],"['Clementines', 'Raspberries']",3
268,"['Packaged Grape Tomatoes', 'Seedless Cucumbers']",['Hass Avocados'],3
269,"['Packaged Grape Tomatoes', 'Hass Avocados']",['Seedless Cucumbers'],3
270,"['Seedless Cucumbers', 'Hass Avocados']",['Packaged Grape Tomatoes'],3
271,['Packaged Grape Tomatoes'],"['Seedless Cucumbers', 'Hass Avocados']",3
272,['Seedless Cucumbers'],"['Packaged Grape Tomatoes', 'Hass Avocados']",3
273,['Hass Avocados'],"['Packaged Grape Tomatoes', 'Seedless Cucumbers']",3
274,"['Packaged Grape Tomatoes', 'Raspberries']",['Hass Avocados'],3
275,"['Packaged Grape Tomatoes', 'Hass Avocados']",['Raspberries'],3
276,"['Raspberries', 'Hass Avocados']",['Packaged Grape Tomatoes'],3
277,['Packaged Grape Tomatoes'],"['Raspberries', 'Hass Avocados']",3
278,['Raspberries'],"['Packaged Grape Tomatoes', 'Hass Avocados']",3
279,['Hass Avocados'],"['Packaged Grape Tomatoes', 'Raspberries']",3
280,"['Raspberries', 'Rainbow Bell Peppers']",['Hass Avocados'],3
281,"['Raspberries', 'Hass Avocados']",['Rainbow Bell Peppers'],3
282,"['Rainbow Bell Peppers', 'Hass Avocados']",['Raspberries'],3
283,['Raspberries'],"['Rainbow Bell Peppers', 'Hass Avocados']",3
284,['Rainbow Bell Peppers'],"['Raspberries', 'Hass Avocados']",3
285,['Hass Avocados'],"['Raspberries', 'Rainbow Bell Peppers']",3
286,"['Raspberries', 'Seedless Cucumbers']",['Hass Avocados'],3
287,"['Raspberries', 'Hass Avocados']",['Seedless Cucumbers'],3
288,"['Seedless Cucumbers', 'Hass Avocados']",['Raspberries'],3
289,['Raspberries'],"['Seedless Cucumbers', 'Hass Avocados']",3
290,['Seedless Cucumbers'],"['Raspberries', 'Hass Avocados']",3
291,['Hass Avocados'],"['Raspberries', 'Seedless Cucumbers']",3
292,['Sparkling Water Grapefruit'],['Pure Sparkling Water'],4
293,['Pure Sparkling Water'],['Sparkling Water Grapefruit'],4
294,['Sparkling Lemon Water'],['Sparkling Water Berry'],4
295,['Sparkling Water Berry'],['Sparkling Lemon Water'],4
296,['Peach Pear Flavored Sparkling Water'],['Sparkling Water Berry'],4
297,['Sparkling Water Berry'],['Peach Pear Flavored Sparkling Water'],4
298,['Lime Sparkling Water'],['Sparkling Water Berry'],4
299,['Sparkling Water Berry'],['Lime Sparkling Water'],4
300,['Sparkling Water Grapefruit'],['Sparkling Water Berry'],4
301,['Sparkling Water Berry'],['Sparkling Water Grapefruit'],4
302,['Peach Pear Flavored Sparkling Water'],['Sparkling Lemon Water'],4
303,['Sparkling Lemon Water'],['Peach Pear Flavored Sparkling Water'],4
304,['Sparkling Lemon Water'],['Lime Sparkling Water'],4
305,['Lime Sparkling Water'],['Sparkling Lemon Water'],4
306,['Sparkling Water Grapefruit'],['Sparkling Lemon Water'],4
307,['Sparkling Lemon Water'],['Sparkling Water Grapefruit'],4
308,['Peach Pear Flavored Sparkling Water'],['Lime Sparkling Water'],4
309,['Lime Sparkling Water'],['Peach Pear Flavored Sparkling Water'],4
310,['Sparkling Water Grapefruit'],['Peach Pear Flavored Sparkling Water'],4
311,['Peach Pear Flavored Sparkling Water'],['Sparkling Water Grapefruit'],4
312,['Sparkling Water Grapefruit'],['Half & Half'],4
313,['Half & Half'],['Sparkling Water Grapefruit'],4
314,['Sparkling Water Grapefruit'],['Original Hummus'],4
315,['Original Hummus'],['Sparkling Water Grapefruit'],4
316,['Organic Cilantro'],['Organic Italian Parsley Bunch'],4
317,['Organic Italian Parsley Bunch'],['Organic Cilantro'],4
318,['Sparkling Water Grapefruit'],['Lime Sparkling Water'],4
319,['Lime Sparkling Water'],['Sparkling Water Grapefruit'],4
320,"['Sparkling Water Grapefruit', 'Lime Sparkling Water']",['Sparkling Water Berry'],4
321,"['Sparkling Water Grapefruit', 'Sparkling Water Berry']",['Lime Sparkling Water'],4
322,"['Lime Sparkling Water', 'Sparkling Water Berry']",['Sparkling Water Grapefruit'],4
323,['Sparkling Water Grapefruit'],"['Lime Sparkling Water', 'Sparkling Water Berry']",4
324,['Lime Sparkling Water'],"['Sparkling Water Grapefruit', 'Sparkling Water Berry']",4
325,['Sparkling Water Berry'],"['Sparkling Water Grapefruit', 'Lime Sparkling Water']",4
326,"['Sparkling Water Grapefruit', 'Lime Sparkling Water']",['Sparkling Lemon Water'],4
327,"['Sparkling Water Grapefruit', 'Sparkling Lemon Water']",['Lime Sparkling Water'],4
328,"['Sparkling Lemon Water', 'Lime Sparkling Water']",['Sparkling Water Grapefruit'],4
329,['Sparkling Water Grapefruit'],"['Sparkling Lemon Water', 'Lime Sparkling Water']",4
330,['Lime Sparkling Water'],"['Sparkling Water Grapefruit', 'Sparkling Lemon Water']",4
331,['Sparkling Lemon Water'],"['Sparkling Water Grapefruit', 'Lime Sparkling Water']",4
332,"['Sparkling Water Grapefruit', 'Peach Pear Flavored Sparkling Water']",['Lime Sparkling Water'],4
333,"['Sparkling Water Grapefruit', 'Lime Sparkling Water']",['Peach Pear Flavored Sparkling Water'],4
334,"['Peach Pear Flavored Sparkling Water', 'Lime Sparkling Water']",['Sparkling Water Grapefruit'],4
335,['Sparkling Water Grapefruit'],"['Peach Pear Flavored Sparkling Water', 'Lime Sparkling Water']",4
336,['Peach Pear Flavored Sparkling Water'],"['Sparkling Water Grapefruit', 'Lime Sparkling Water']",4
337,['Lime Sparkling Water'],"['Sparkling Water Grapefruit', 'Peach Pear Flavored Sparkling Water']",4
