,first,second,label
92,[31506],[27845],1
93,[27845],[31506],1
94,[27845],[31717],1
95,[31717],[27845],1
96,[33731],[27845],1
97,[27845],[33731],1
98,[27845],[34126],1
99,[34126],[27845],1
100,[27845],[34134],1
101,[34134],[27845],1
102,[40604],[27845],1
103,[27845],[40604],1
104,[43875],[27845],1
105,[27845],[43875],1
106,[28378],[34134],1
107,[34134],[28378],1
108,[28378],[43875],1
109,[43875],[28378],1
110,[30192],[49044],1
111,[49044],[30192],1
112,[31506],[34126],1
113,[34126],[31506],1
114,[31506],[34134],1
115,[34134],[31506],1
116,[31506],[43875],1
117,[43875],[31506],1
118,[33731],[31717],1
119,[31717],[33731],1
120,[31717],[34126],1
121,[34126],[31717],1
122,[31717],[34134],1
123,[34134],[31717],1
124,[43875],[31717],1
125,[31717],[43875],1
126,[33731],[34126],1
127,[34126],[33731],1
128,[33731],[34134],1
129,[34134],[33731],1
130,[43875],[33731],1
131,[33731],[43875],1
132,[43875],[34126],1
133,[34126],[43875],1
134,[38192],[34134],1
135,[34134],[38192],1
136,[43875],[34134],1
137,[34134],[43875],1
138,[47888],[34134],1
139,[34134],[47888],1
140,[38192],[43875],1
141,[43875],[38192],1
142,[47888],[43875],1
143,[43875],[47888],1
144,"[43875, 3020]",[34134],1
145,"[43875, 34134]",[3020],1
146,"[3020, 34134]",[43875],1
147,[43875],"[3020, 34134]",1
148,[3020],"[43875, 34134]",1
149,[34134],"[43875, 3020]",1
150,[31506],[9076],2
151,[9076],[31506],2
152,[24489],[17948],2
153,[17948],[24489],2
154,[30489],[22035],2
155,[22035],[30489],2
156,[31506],[27156],2
157,[27156],[31506],2
158,[27156],[31717],2
159,[31717],[27156],2
160,[27156],[34126],2
161,[34126],[27156],2
162,[28842],[31717],2
163,[31717],[28842],2
164,[30489],[31506],2
165,[31506],[30489],2
166,[30489],[34126],2
167,[34126],[30489],2
168,[31506],[31717],2
169,[31717],[31506],2
170,[31506],[33731],2
171,[33731],[31506],2
172,[31506],[34126],2
173,[34126],[31506],2
174,[31717],[34126],2
175,[34126],[31717],2
176,[33731],[34126],2
177,[34126],[33731],2
178,[6184],[196],3
179,[196],[6184],3
180,[8048],[6184],3
181,[6184],[8048],3
182,[6184],[8571],3
183,[8571],[6184],3
184,[6184],[9076],3
185,[9076],[6184],3
186,[6184],[11759],3
187,[11759],[6184],3
188,[6184],[12341],3
189,[12341],[6184],3
190,[6184],[19691],3
191,[19691],[6184],3
192,[6184],[21292],3
193,[21292],[6184],3
194,[6184],[30827],3
195,[30827],[6184],3
196,[6184],[35561],3
197,[35561],[6184],3
198,[6184],[43352],3
199,[43352],[6184],3
200,[8048],[8571],3
201,[8571],[8048],3
202,[8048],[12341],3
203,[12341],[8048],3
204,[8048],[21292],3
205,[21292],[8048],3
206,[8048],[30827],3
207,[30827],[8048],3
208,[8048],[43352],3
209,[43352],[8048],3
210,[8571],[12341],3
211,[12341],[8571],3
212,[8571],[21292],3
213,[21292],[8571],3
214,[43352],[8571],3
215,[8571],[43352],3
216,[9076],[12341],3
217,[12341],[9076],3
218,[43352],[9076],3
219,[9076],[43352],3
220,[43352],[11759],3
221,[11759],[43352],3
222,[19691],[12341],3
223,[12341],[19691],3
224,[21195],[12341],3
225,[12341],[21195],3
226,[21292],[12341],3
227,[12341],[21292],3
228,[30827],[12341],3
229,[12341],[30827],3
230,[35561],[12341],3
231,[12341],[35561],3
232,[43352],[12341],3
233,[12341],[43352],3
234,[43352],[19691],3
235,[19691],[43352],3
236,[30827],[21292],3
237,[21292],[30827],3
238,[43352],[21292],3
239,[21292],[43352],3
240,[43352],[30827],3
241,[30827],[43352],3
242,[43352],[35561],3
243,[35561],[43352],3
244,"[8048, 6184]",[12341],3
245,"[8048, 12341]",[6184],3
246,"[6184, 12341]",[8048],3
247,[8048],"[6184, 12341]",3
248,[6184],"[8048, 12341]",3
249,[12341],"[8048, 6184]",3
250,"[8048, 6184]",[43352],3
251,"[8048, 43352]",[6184],3
252,"[6184, 43352]",[8048],3
253,[8048],"[6184, 43352]",3
254,[6184],"[8048, 43352]",3
255,[43352],"[8048, 6184]",3
256,"[6184, 30827]",[12341],3
257,"[6184, 12341]",[30827],3
258,"[30827, 12341]",[6184],3
259,[6184],"[30827, 12341]",3
260,[30827],"[6184, 12341]",3
261,[12341],"[6184, 30827]",3
262,"[6184, 43352]",[12341],3
263,"[6184, 12341]",[43352],3
264,"[43352, 12341]",[6184],3
265,[6184],"[43352, 12341]",3
266,[43352],"[6184, 12341]",3
267,[12341],"[6184, 43352]",3
268,"[8048, 30827]",[12341],3
269,"[8048, 12341]",[30827],3
270,"[30827, 12341]",[8048],3
271,[8048],"[30827, 12341]",3
272,[30827],"[8048, 12341]",3
273,[12341],"[8048, 30827]",3
274,"[8048, 43352]",[12341],3
275,"[8048, 12341]",[43352],3
276,"[43352, 12341]",[8048],3
277,[8048],"[43352, 12341]",3
278,[43352],"[8048, 12341]",3
279,[12341],"[8048, 43352]",3
280,"[43352, 21292]",[12341],3
281,"[43352, 12341]",[21292],3
282,"[21292, 12341]",[43352],3
283,[43352],"[21292, 12341]",3
284,[21292],"[43352, 12341]",3
285,[12341],"[43352, 21292]",3
286,"[43352, 30827]",[12341],3
287,"[43352, 12341]",[30827],3
288,"[30827, 12341]",[43352],3
289,[43352],"[30827, 12341]",3
290,[30827],"[43352, 12341]",3
291,[12341],"[43352, 30827]",3
292,[44632],[14947],4
293,[14947],[44632],4
294,[21709],[20119],4
295,[20119],[21709],4
296,[26620],[20119],4
297,[20119],[26620],4
298,[35221],[20119],4
299,[20119],[35221],4
300,[44632],[20119],4
301,[20119],[44632],4
302,[26620],[21709],4
303,[21709],[26620],4
304,[21709],[35221],4
305,[35221],[21709],4
306,[44632],[21709],4
307,[21709],[44632],4
308,[26620],[35221],4
309,[35221],[26620],4
310,[44632],[26620],4
311,[26620],[44632],4
312,[44632],[27086],4
313,[27086],[44632],4
314,[44632],[30489],4
315,[30489],[44632],4
316,[31717],[34126],4
317,[34126],[31717],4
318,[44632],[35221],4
319,[35221],[44632],4
320,"[44632, 35221]",[20119],4
321,"[44632, 20119]",[35221],4
322,"[35221, 20119]",[44632],4
323,[44632],"[35221, 20119]",4
324,[35221],"[44632, 20119]",4
325,[20119],"[44632, 35221]",4
326,"[44632, 35221]",[21709],4
327,"[44632, 21709]",[35221],4
328,"[21709, 35221]",[44632],4
329,[44632],"[21709, 35221]",4
330,[35221],"[44632, 21709]",4
331,[21709],"[44632, 35221]",4
332,"[44632, 26620]",[35221],4
333,"[44632, 35221]",[26620],4
334,"[26620, 35221]",[44632],4
335,[44632],"[26620, 35221]",4
336,[26620],"[44632, 35221]",4
337,[35221],"[44632, 26620]",4
